Antibody,lineage,functional
CCR2,FALSE,TRUE
CCR4,FALSE,TRUE
CCR5,FALSE,TRUE
CCR6,FALSE,TRUE
CCR7,FALSE,TRUE
CD103,FALSE,TRUE
CD11b,FALSE,FALSE
CD11c_CD14_CD19,FALSE,FALSE
CD127,FALSE,TRUE
CD137,FALSE,TRUE
CD161,FALSE,TRUE
CD200,FALSE,TRUE
CD244,FALSE,TRUE
CD25,FALSE,TRUE
CD27,FALSE,TRUE
CD28,FALSE,TRUE
CD29,FALSE,TRUE
CD3,TRUE,FALSE
CD38,FALSE,TRUE
CD39,FALSE,TRUE
CD4,TRUE,FALSE
CD45,TRUE,FALSE
CD45RA,FALSE,TRUE
CD49d,FALSE,TRUE
CD56,TRUE,FALSE
CD57,FALSE,TRUE
CD62L,FALSE,TRUE
CD69,FALSE,TRUE
CD73,FALSE,TRUE
CD85j,FALSE,TRUE
CD8a,TRUE,FALSE
CLIP,TRUE,FALSE
CTLA-4,FALSE,TRUE
CX3CR1,FALSE,TRUE
CXCR3,FALSE,TRUE
CXCR4,FALSE,TRUE
CXCR5,FALSE,TRUE
Dead cells,FALSE,FALSE
DNA1,FALSE,FALSE
DNA2,FALSE,FALSE
HLA-DR,FALSE,TRUE
ICOS,FALSE,TRUE
Integrin-b7,FALSE,TRUE
KLRG1,FALSE,TRUE
OX40,FALSE,TRUE
PD-1,FALSE,TRUE
PE_tetramer,TRUE,FALSE
TCRab,TRUE,FALSE
TCRgd,TRUE,FALSE
TIGIT,FALSE,TRUE
